Running SLURM prolog script on red232.cluster.local
===============================================================================
Job started on Wed Jun 19 15:54:31 BST 2024
Job ID          : 6140878
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red232
Job Output Follows ...
===============================================================================
NStep3DQN_game_NameThisGame NameThisGame avg score 2394.00 total_steps 147600 fps 133.52
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2368.84 total_steps 115200 fps 142.54
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2465.40 total_steps 147600 fps 132.92
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2640.40 total_steps 145200 fps 100.00
NStep3DQN_game_NameThisGame NameThisGame avg score 2394.00 total_steps 148800 fps 109.01
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2368.84 total_steps 116400 fps 109.25
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2465.40 total_steps 148800 fps 97.77
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2640.40 total_steps 146400 fps 90.27
NStep3DQN_game_NameThisGame NameThisGame avg score 2394.00 total_steps 150000 fps 115.96
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2395.91 total_steps 117600 fps 123.51
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2459.00 total_steps 150000 fps 107.16
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2629.60 total_steps 147600 fps 133.27
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2395.91 total_steps 118800 fps 159.82
NStep3DQN_game_NameThisGame NameThisGame avg score 2433.80 total_steps 151200 fps 96.86
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2385.56 total_steps 120000 fps 158.58
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2629.60 total_steps 148800 fps 111.89
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2459.00 total_steps 151200 fps 88.74
NStep3DQN_game_NameThisGame NameThisGame avg score 2433.80 total_steps 152400 fps 109.73
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2385.56 total_steps 121200 fps 150.10
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2623.40 total_steps 150000 fps 98.25
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2457.60 total_steps 152400 fps 91.85
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2369.78 total_steps 122400 fps 139.24
NStep3DQN_game_NameThisGame NameThisGame avg score 2448.20 total_steps 153600 fps 104.27
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2623.40 total_steps 151200 fps 113.41
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2457.60 total_steps 153600 fps 112.26
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2369.78 total_steps 123600 fps 119.26
NStep3DQN_game_NameThisGame NameThisGame avg score 2448.20 total_steps 154800 fps 107.97
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2369.78 total_steps 124800 fps 141.94
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2606.00 total_steps 152400 fps 106.57
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2457.60 total_steps 154800 fps 114.16
NStep3DQN_game_NameThisGame NameThisGame avg score 2430.20 total_steps 156000 fps 97.19
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2406.60 total_steps 126000 fps 119.72
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2489.20 total_steps 156000 fps 96.58
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2606.00 total_steps 153600 fps 88.25
NStep3DQN_game_NameThisGame NameThisGame avg score 2430.20 total_steps 157200 fps 99.67
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2406.60 total_steps 127200 fps 123.99
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2494.20 total_steps 157200 fps 105.95
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2578.80 total_steps 154800 fps 104.31
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2404.17 total_steps 128400 fps 113.81
NStep3DQN_game_NameThisGame NameThisGame avg score 2421.20 total_steps 158400 fps 90.42
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2494.20 total_steps 158400 fps 120.75
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2557.40 total_steps 156000 fps 89.52
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2404.17 total_steps 129600 fps 121.27
NStep3DQN_game_NameThisGame NameThisGame avg score 2355.20 total_steps 159600 fps 96.99
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2512.80 total_steps 159600 fps 106.25
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2404.17 total_steps 130800 fps 143.37
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2557.40 total_steps 157200 fps 101.36
NStep3DQN_game_NameThisGame NameThisGame avg score 2355.20 total_steps 160800 fps 98.93
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2512.80 total_steps 160800 fps 91.09
